,names,values
1254,Nobuo,M
1255,Noel,M
1256,Nora,F
1257,Noriaki,M
1258,Norihisa,M
1259,Norio,M
1260,Norman,M
1261,Nozomu,M
1262,NoåÕÌ¢l,M
1263,NoåÕÌ¢lette,M
1264,Nunnally,M
1265,Oana,F
1266,Olaf,M
1267,Ole,M
1268,Oliver,M
1269,Olivier,M
1270,Omar,M
1271,Oren,M
1272,Orlando,M
1273,Orly,F
1274,Orson,M
1275,Osamu,M
1276,Oscar,M
1277,Otto,M
1278,Oury,M
1279,Owen,M
1280,Ozzie,M
1281,P.J.,M
1282,Pablo,M
1283,Padam,M
1284,Paddy,M
1285,Padraic,M
1286,Pam,F
1287,Pamela,F
1288,Pandro,M
1289,Paolo,M
1290,Pascal,M
1291,Pascale,F
1292,Pat,M
1293,Paten,M
1294,Patricia,F
1295,Patrick,M
1296,Patsy,F
1297,Patty,F
1298,Paul,M
1299,Paula,F
1300,Paulo,M
1301,Pawel,M
1302,Peaches,M
1303,Peggy,F
1304,Pegi,M
1305,Pen-Ek,M
1306,Penney,M
1307,Pep,M
1308,PepåÕ_n,M
1309,Per,M
1310,Perce,M
1311,Percy,M
1312,Perry,M
1313,Pete,M
1314,Peter,M
1315,Petra,F
1316,Petter,M
1317,Phil,M
1318,Philip,M
1319,Philip-Jaime,M
1320,Philipp,M
1321,Philippa,F
1322,Philippe,M
1323,Phillip,M
1324,Phillipa,F
1325,Phillippa,M
1326,Phyllis,F
1327,Pierre,M
1328,Pierre-Alain,M
1329,Pieter,M
1330,Pilar,F
1331,Pio,M
1332,Pippa,F
1333,Prasad,M
1334,Preston,M
1335,Priscilla,F
1336,Prudence,F
1337,Puad,M
1338,Pui-Wah,M
1339,PåÕåçdraig,M
1340,Quang,M
1341,Quentin,M
1342,Quinton,M
1343,Quirin,M
1344,R.,M
1345,R.D.,M
1346,R.J.,M
1347,Rachael,F
1348,Rachel,F
1349,Rachid,M
1350,Raf,M
1351,Rafael,M
1352,Raffaella,F
1353,Raffi,M
1354,Ragnar,M
1355,Rahila,M
1356,Rainer,M
1357,Rajeev,M
1358,Ralph,M
1359,Ram,M
1360,Ramin,M
1361,Ramzi,M
1362,RamåÕ_n,M
1363,Randy,M
1364,Rangga,M
1365,Rania,M
1366,Raoul,M
1367,RaphaåÕÌ¢l,M
1368,Rasmus,M
1369,Ray,M
1370,Raymond,M
1371,Rebecca,F
1372,Red,M
1373,Reena,F
1374,Reginald,M
1375,Reid,M
1376,Reinhard,M
1377,Rekha,M
1378,Renan,M
1379,Renata,F
1380,Renato,M
1381,Rene,M
1382,Reniero,M
1383,Renji,M
1384,Rennie,M
1385,Renny,M
1386,Reno,M
1387,Renzo,M
1388,RenåÕå©,M
1389,RenåÕå©e,F
1390,Reuben,M
1391,Revel,M
1392,Rex,M
1393,Rhianna,F
1394,Rhonda,F
1395,Ric,M
1396,Ricardo,M
1397,Riccardo,M
1398,Rich,M
1399,Richard,M
1400,Rick,M
1401,Rikki,F
1402,Ringo,M
1403,Risa,M
1404,Rishi,M
1405,Rita,F
1406,Ritsuo,M
1407,Riza,M
1408,Roanna,M
1409,Rob,M
1410,Robbie,M
1411,Robert,M
1412,Roberto,M
1413,Robin,M
1414,Robyn,F
1415,Rod,M
1416,Rodney,M
1417,Rodolphe,M
1418,Rodrigo,M
1419,Roger,M
1420,Rola,M
1421,Roland,M
1422,Rolando,M
1423,Rolf,M
1424,Roman,M
1425,Ron,M
1426,Ronald,M
1427,Rory,M
1428,Rosemary,F
1429,Rosi,M
1430,Rosie,F
1431,Ross,M
1432,Rossana,F
1433,Rouben,M
1434,Roxanne,F
1435,Roy,M
1436,Ruben,M
1437,Rudolf,M
1438,Rudy,M
1439,Rui,M
1440,Runme,M
1441,Rupert,M
1442,Russ,M
1443,Russell,M
1444,Rusty,M
