,Released,Movie,Genre,Budget,Revenue,Trailer,Year
311,12/31/10 0:00,Abel,Drama,,0,,2010
312,1/23/13 0:00,Abel's Field,Drama,,0,,2013
313,8/17/01 0:00,Aberdeen,Drama,,64148,,2001
314,4/14/06 0:00,Abominable,Horror,,1810,,2006
315,10/23/13 0:00,Abominable Christmas,Adventure,,0,,2013
316,2/20/04 0:00,Abouna,Drama,,2350,,2004
317,5/17/02 0:00,About a Boy,Romantic Comedy,27000000,40803000,,2002
318,5/11/01 0:00,About Adam,Comedy,,151559,,2001
319,9/21/12 0:00,About Cherry,Drama,,3003,,2012
320,12/31/11 0:00,About Fifty,,,2500,,2011
321,7/1/86 0:00,About Last Night...,Comedy,,38702310,,1986
322,2/14/14 0:00,About Last Night,Romantic Comedy,13000000,48419430,Play,2014
323,12/13/02 0:00,About Schmidt,Drama,30000000,65005217,,2002
324,12/31/13 0:00,About Sunny,Drama,,0,,2013
325,11/1/13 0:00,About Time,Romantic Comedy,12000000,15323921,Play,2013
326,5/21/95 0:00,Above Suspicion,Drama,,0,,1995
327,3/7/94 0:00,Above Suspicion (1939),Thriller/Suspense,,0,,1994
328,4/8/88 0:00,Above the Law,Action,,18869631,,1988
329,3/23/94 0:00,Above the Rim,Drama,,16026469,,1994
330,11/13/12 0:00,Abraham Lincoln,Drama,,0,,2012
331,6/22/12 0:00,Abraham Lincoln: Vampire Hunter,Horror,67500000,37519139,Play,2012
332,12/31/12 0:00,Abraham Lincoln vs. Zombies,Horror,,0,,2012
333,11/20/09 0:00,Los abrazos rotos,Thriller/Suspense,,5014305,,2009
334,12/14/01 0:00,Abril DespedaÃ§ado,Drama,,64210,,2001
335,7/5/13 0:00,Absence,Horror,,0,,2013
336,11/19/81 0:00,Absence of Malice,Drama,,33312129,,1981
337,3/16/61 0:00,The Absent Minded Professor,Comedy,,25381407,,1961
338,1/7/11 0:00,The Absent,Thriller/Suspense,,0,,2011
339,12/31/11 0:00,Absentia,Horror,,0,,2011
340,4/18/86 0:00,Absolute Beginners,Musical,,930211,,1986
341,12/31/13 0:00,Absolute Deception,Action,,0,,2013
342,2/14/97 0:00,Absolute Power,Thriller/Suspense,50000000,50068310,,1997
343,10/27/06 0:00,Absolute Wilson,Documentary,,66217,,2006
344,2/6/09 0:00,Absurdistan,Comedy,,39683,,2009
345,10/8/99 0:00,El Abuelo,Drama,,50037,,1999
346,8/9/89 0:00,The Abyss,Action,70000000,54243125,,1989
347,4/30/82 0:00,AC/DC: Let There Be Rock,Concert/Performance,,52590,,1982
348,8/18/06 0:00,Accepted,Comedy,,36580083,,2006
349,11/10/09 0:00,The Accidental Husband,Romantic Comedy,,0,,2009
350,12/23/88 0:00,The Accidental Tourist,Drama,,32632000,,1988
351,12/31/11 0:00,Accidentes,Comedy,,0,,2011
352,7/27/10 0:00,Accidents Happen,,,0,,2010
353,10/14/88 0:00,The Accused,Drama,,32078318,,1988
354,3/3/09 0:00,Ace Ventura Jr.: Pet Detective,Comedy,,0,,2009
355,2/4/94 0:00,Ace Ventura: Pet Detective,Comedy,12000000,72217396,,1994
356,11/10/95 0:00,Ace Ventura: When Nature Calls,Comedy,30000000,108360063,,1995
357,12/31/11 0:00,Ace Wonder: Message From a Dead Man,,,0,,2011
358,8/6/99 0:00,The Acid House,Drama,,142783,,1999
359,1/1/72 0:00,Across 110th Street,Thriller/Suspense,,10000000,,1972
360,1/1/76 0:00,Across the Great Divide,Western,,18800000,,1976
361,1/19/10 0:00,Across the Hall,,,0,,2010
362,12/31/10 0:00,Across the Line,Action,,0,,2010
363,10/20/95 0:00,Across The Sea of Time,Drama,,16015639,,1995
364,12/31/90 0:00,Across the Tracks,,,0,,1990
365,9/14/07 0:00,Across the Universe,Musical,45000000,24343673,,2007
366,1/1/51 0:00,Across the Wide Missouri,Western,,5500000,,1951
367,7/31/09 0:00,Act of God,,,9955,,2009
368,7/19/13 0:00,The Act of Killing,Documentary,,486919,,2013
369,2/24/12 0:00,Act of Valor,Action,12000000,70012847,Play,2012
370,2/12/88 0:00,Action Jackson,Action,7000000,20257000,,1988
371,11/5/10 0:00,Action Replayy,Drama,,410262,,2010
372,12/31/07 0:00,Actrices,,,0,,2007
373,12/31/09 0:00,Acts of Violence,,,0,,2009
374,11/21/03 0:00,Acts of Worship,Drama,,9377,,2003
375,11/9/10 0:00,Acustico En Vivo,Concert/Performance,,0,,2010
376,7/29/09 0:00,Adam,Drama,3200000,2277396,,2009
377,3/31/06 0:00,Adam & Steve,Romantic Comedy,,309404,,2006
378,9/22/09 0:00,Adam Resurrected,,10000000,0,,2009
379,3/16/07 0:00,Adam's Apples,Comedy,,1305,,2007
380,10/19/10 0:00,Adams Yolanda-What a Wonderful Time,Concert/Performance,,0,,2010
381,7/13/01 0:00,Adanggaman,Drama,,28664,,2001
382,12/6/02 0:00,Adaptation,Comedy,18500000,22498520,,2002
383,11/22/91 0:00,The Addams Family,Comedy,30000000,113502246,,1991
384,11/19/93 0:00,Addams Family Values,Comedy,,46293855,,1993
385,9/5/14 0:00,Addicted,Drama,,0,,2014
386,11/26/12 0:00,Addicted to Fame,Documentary,,0,,2012
387,5/23/97 0:00,Addicted To Love,Romantic Comedy,,34673095,,1997
388,12/14/11 0:00,Addiction Incorporated,Documentary,,40106,,2011
389,10/4/95 0:00,The Addiction,Horror,,303300,,1995
390,7/13/12 0:00,Les adieux Ã  la reine,Drama,,1329660,,2012
391,4/20/07 0:00,Adios Momo,Drama,,8453,,2007
392,7/1/92 0:00,The Adjuster,Drama,,396573,,1992
393,3/4/11 0:00,The Adjustment Bureau,Thriller/Suspense,50200000,62495645,Play,2011
394,3/22/13 0:00,Admission,Romantic Comedy,13000000,18007317,Play,2013
395,12/31/09 0:00,Adopted,,,0,,2009
396,5/8/09 0:00,Adoration,Drama,4000000,294244,,2009
397,9/6/13 0:00,Adore,Drama,,302020,,2013
398,5/5/00 0:00,Adorenarin doraibu,Comedy,,77313,,2000
399,12/6/96 0:00,Adrenalin: Fear the Rush,,,37536,,1996
400,2/9/10 0:00,Adrenaline of Love,,,0,,2010
